rank,term,avg_tfidf,doc_frequency,ngram_n
622,hizbul,0.006792298157443236,21,1
623,kehilangan,0.006785059719620713,31,1
624,demonstran,0.006782100323463081,19,1
625,dikabarkan,0.006774487573446512,26,1
626,jaringan,0.006767889280978184,27,1
627,memimpin iran,0.006755128944092726,30,2
628,khamenei salah,0.006739183858320469,28,2
629,jalur,0.00673338975639054,30,1
630,wilayah iran,0.006731784515894931,32,2
631,kota suci,0.006730524399372263,28,2
632,tekanan,0.0067283931255648684,35,1
633,araghchi,0.006718228394555881,22,1
634,kepemimpinan iran,0.006711268410177753,29,2
635,berjalan,0.006699581270116399,27,1
636,iran menggantikan,0.006695673688261437,29,2
637,wakil,0.006681390182755681,27,1
638,program nuklir iran,0.00667518698153576,32,3
639,insiden,0.0066739640188126555,27,1
640,menewaskan orang,0.006672676556519894,26,2
641,citra,0.006669541443810867,27,1
642,juni,0.006664076278260361,27,1
643,aviv,0.006656807985822077,26,1
644,tel aviv,0.006656807985822077,26,2
645,perjuangan,0.006649201754756875,22,1
646,lukaluka,0.006648686455158363,25,1
647,iran februari,0.006645210123992176,33,2
648,beranggotakan,0.006642058669312272,37,1
649,perempuan,0.006635546482544817,29,1
650,pemerintahan iran,0.0066141250671272285,29,2
651,menggambarkan,0.006609094095723452,31,1
652,target iran,0.0066085826153193155,35,2
653,tertinggi iran mojtaba,0.006605684972162204,30,3
654,reruntuhan,0.0065932429872398645,18,1
655,iran presiden,0.006584400333970333,32,2
656,muslim,0.006569416810958169,23,1
657,bahrain,0.006568227770593112,30,1
658,dikonfirmasi,0.006559817348499444,29,1
659,menetapkan berkabung,0.006555092083457075,26,2
660,mengonfirmasi kematian,0.006540799277247928,32,2
661,kematian ali,0.006508691285743414,26,2
662,iran media,0.006504712301566807,28,2
663,media pemerintah iran,0.006504161725744815,28,3
664,belasungkawa,0.0065024192301228025,23,1
665,perdamaian,0.006501413863501,25,1
666,serang iran,0.006501144724652219,30,2
667,usia,0.0064991765967991446,26,1
668,keagamaan,0.006494146648679781,25,1
