term,avg_tfidf,pos_tag,pos_label
sebentar,0.00910019067671641,ADV,Keterangan
cenderung,0.00829592562014001,ADV,Keterangan
sengaja,0.007208987370148697,ADV,Keterangan
mari,0.007002730326610712,ADV,Keterangan
kemarin,0.006790070792885059,ADV,Keterangan
bersamasama,0.00667388297127844,ADV,Keterangan
seiring,0.006109979633401222,ADV,Keterangan
pastikan,0.006109979633401222,ADV,Keterangan
bertindak,0.006109979633401222,ADV,Keterangan
bertahuntahun,0.00588896073193302,ADV,Keterangan
semoga,0.0055413608068865024,ADV,Keterangan
kerap,0.005333150319759116,ADV,Keterangan
perlahan,0.005221718966691974,ADV,Keterangan
kuatmengapa,0.004851978239256035,ADV,Keterangan
benarbenar,0.004073319755600814,ADV,Keterangan
apa,0.004073319755600814,ADV,Keterangan
ragu,0.004073319755600814,ADV,Keterangan
masingmasing,0.004073319755600814,ADV,Keterangan
berulangkali,0.0037371782748949227,ADV,Keterangan
gimana,0.0037371782748949227,ADV,Keterangan
tinggal,0.003329166092862535,ADV,Keterangan
biarlah,0.0032009286127921708,ADV,Keterangan
jauhmengapa,0.002311993628101433,ADV,Keterangan
tetapiselalu,0.002311993628101433,ADV,Keterangan
